Period,Revenue
1,1517
2,1248
3,1677
4,1393
5,1558
6,1368
7,1790
8,1396
9,1638
10,1507
11,1868
12,1510
13,1669
14,1392
15,1853
16,1353
17,1623
18,1401
19,1758
20,1078
21,1674
22,1516
23,1924
24,1522
25,2459
26,2428
27,2949
28,2248
29,2538
30,2400
31,2941
32,2420
33,2621
34,2521
35,3083
36,2574
37,2577
38,2457
39,2888
40,2458
41,2674
42,2917
43,3468
44,2931
45,3273
46,3064
47,3744
48,3241
49,3824
50,3517
51,4173
52,3369
53,3751
54,3383
55,3879
56,3391
57,3480
58,3400
59,4044
60,3610
61,4083
62,3907
63,4758
64,4167
65,4769
66,4199
67,5413
68,4687
69,5671
70,5038
71,5677
72,5056
73,5548
74,5261
75,5873
76,5234
77,5883
78,5509
79,6410
80,5838
81,4381
82,3352
83,5561
84,5142
85,5268
86,5077
87,5752
88,5137
